,Fecha,Titulo,Desripcion,Empresa
0,"Hoy, 11:06 a. m.",Empleo de Convocatoria laboral técnico en instalaciones de redes,"Si eres bachiller, técnico o tecnologo con experiencia RECIENTE en Instalación de Internet telefonía y parabólica..", HQ5 S.A.S
1,"Hoy, 11:01 a. m.",Empleo de Coordinador Comercial Apartado,Empresa de telecomunicaciones requiere Coordinador Comercial. Educación mínima Tecnólogo y/o Profesional en ingeniería.., SU TEMPORAL S.A
2,"Hoy, 11:01 a. m.",Empleo de Mensajero - Motorizado,"Reconocida compañía Importadora requiere Mensajeros, con formación bachiller en cualquier modalidad. Experiencia..",
3,"Hoy, 10:56 a. m.","Empleo de Asesor de Repuestos, Filtros y Lubricantes - Itaguí","Se necesita persona con PERFIL COMERCIAL y experiencia en ventas de Repuestos, Filtros y/o Lubricantes. Para realizar..", TECNODIESEL S.A.S
4,"Hoy, 10:53 a. m.",Empleo de conductor con licencia c2 o c3 urgente medellin ,"importante empresa de consumo masivo requiere conductores para ejecutar el traslado terrestre puntual, seguro y..", PROCESOS TERCERIZADOS S.A.S
5,"Hoy, 10:52 a. m.",Empleo de asesor comercial,"Importante empresadel sector retail , se encuentran buscando para su equipo de trabajo Asesores Tiempo completo, con..", MANUFACTURAS ELIOT S.A.S
6,"Hoy, 10:52 a. m.",Empleo de Jefe de produccion de confección,"Importante empresa textil, requiere supervisor, quien tendrá las principales funciones: programar la plantasegún plan..", Mision Empresarial S.A
7,"Hoy, 10:52 a. m.",Empleo de Auxiliares de Bodega - Con Moto,"Se requiere personal bachiller con Experiencia RECIENTE en Areas operativas (mensajero, guarda, bodega, operario,..", HQ5 S.A.S
8,"Hoy, 10:52 a. m.",Empleo de Auxiliar de distribución o auxiliar de vehículo - Mínimo 12 meses de experiencia debe de contar con conocimiento en nomenclatura,"Importante empresa de consumo masivo , desea incorporar a su equipo de trabajo personas que cuenten con situación..", nexarte servicios temporales s.a
9,"Hoy, 10:52 a. m.",Empleo de Tecnicos HFC - con Moto,"Se requiere personal bachiller con Experiencia RECIENTE en Instalación de Internet Telefonía y Parabólica, para..", HQ5 S.A.S
10,"Hoy, 10:52 a. m.",Empleo de Instaladores - Telefonia Internet y Parabolica,"Se requiere personal bachiller con Experiencia RECIENTE en Instalación de Internet Telefonía y Parabólica, para..", HQ5 S.A.S
11,"Hoy, 10:52 a. m.",Empleo de Panadero ,"Se requiere panadero con experiencia de mínimo 1 año preferiblemente en hoteles, con conocimientos en repostería...", Contrate SA
12,"Hoy, 10:52 a. m.",Empleo de Abogado - Especialista en derecho laboral y seguridad social,"Importante empresa de servicios,requiere para su equipo de trabajoAbogado con experiencia mínima de cincoaños en..",
13,"Hoy, 10:48 a. m.",Empleo de Vendedor o asesor comercial  - Para telefonía móvil ,"te gustan las ventas, y quieres tener ingresos superiores esta puede ser TÚ oportunidad  Empresa reconocida de..", ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
14,"Hoy, 10:42 a. m.",Empleo de cajero/a,"Importante empresa de consumo masivo requiere CAJEROS/AS, con experiencia mínimo de 2 años manejando caja, excelente..",
15,"Hoy, 10:42 a. m.","Empleo de Vendedor para Rionegro - con experiencia, preferiblemente que viva en la zona ","Importante empresa de consumo masivo requiere vendedor con mínimo de experiencia de 2 años en ventas tangibles,..",
16,"Hoy, 10:39 a. m.",Empleo de Pase 5ta - Conductor C2,"Esta es tu gran oportunidad laboral, si tienes licencia C2 o C3 y quieres trabajar en una empresa que ofrezca..",
17,"Hoy, 10:29 a. m.",Empleo de mecánico de llantas / Llantero  - tecnico de llantas / montallantas,Reconocida empresa de soluciones logísticas y te invita a ser parte de su equipo de trabajo: requerimos técnico en.., Coltanques
18,"Hoy, 10:23 a. m.",Empleo de Asesor de Ventas Senior - Experiencia en promocionales,"Importante empresa de publicidad requiere Profesional en Mercadeo y negocios internacionales, Administración de..",
19,"Hoy, 10:22 a. m.",Empleo de Vendedores punto de venta  - para telefonía móvil ,"empresa de servicios de telefonía móvil busca para su equipo de trabajo vendedores punto de venta o Retail, para..", ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
20,"Hoy, 10:22 a. m.",Empleo de Paramédico APH o Enfermero Profesional - Con Licencia de Conducción C1 o C2,"Importante empresa del sector de servicios de oxígenos,requiere para su equipo de trabajo enfermeros profesionales o..", MANPOWER PROFESSIONAL LTDA
21,"Hoy, 10:22 a. m.",Empleo de Auxiliar Logístico y Montacarga - Certificado de Montacarga  y de alturas vigente,"Empresa documental muy reconocida, requiere para su equipo de trabajo Auxiliar Logístico Montacarguista. Educación..", SU TEMPORAL S.A
22,"Hoy, 10:22 a. m.",Empleo de Auxiliar de Operaciones de contratación - Empresa de servicios temporales en la Estrella,"Importante empresa de servicios temporales, requiere auxiliar de operaciones , quien sera encargado, de atender..", Mision Empresarial S.A
23,"Hoy, 10:21 a. m.",Empleo de Psicologo/a Organizacional - Experiencia en selección masiva,"Importante compañía de hidrocarburos requiere para su equipo de trabajo en el municipio de Cerete Cordoba,1..",
24,"Hoy, 10:21 a. m.",Empleo de Si tienes 3 meses de experiencia en impulso de perfumería - O cuidado personal / esta es tu oportunidad ,Importante empresa de fragancias requiere para su equipo de trabajo impulsadoras o personas con experiencia en testeo..., Servicios y Asesorias
25,"Hoy, 10:21 a. m.",Empleo de Soldador MIG,"Se requiere soldador MIG con experiencia de mínimo 3 años, con conocimientos en manejo de soldador MIG 250 amperio..", Contrate SA
26,"Hoy, 10:13 a. m.",Empleo de Vendedor Externo para telefonía móvil  - Horario de Lunes a sábado + salario fijo,Reconocida empresa de telefonía móvil Busca vendedorespara laborar en calle dentro del área metropolitana de la ciudad.., ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
27,"Hoy, 10:09 a. m.",Empleo de Ayudantes de obra,"Requerimos ayudantes de obra o construcción, bachilleres con experiencia minima de un año con todo lo relacionado a la..",
28,"Hoy, 10:09 a. m.",Empleo de Tecnólogo en Seguridad y Salud en el Trabajo,"Empresa de transporte, requiere para su equipo de trabajo Tecnólogo en Seguridad y Salud en el Trabajo, Salud..",
29,"Hoy, 10:08 a. m.",Empleo de Gerente de cuentas de consumo ,"Se requiere profesionalcon experiencia mínima de 4 años en inventarios, reportes, ordenes de compra, cuota de ventas..", MANPOWER PROFESSIONAL LTDA
30,"Hoy, 10:08 a. m.",Empleo de líder de cuenta comerciales con licencia de vehículo,"Se requiere profesionalcon experiencia mínima de 4 años en inventarios, reportes, ordenes de compra, cuota de ventas..", MANPOWER PROFESSIONAL LTDA
31,"Hoy, 10:08 a. m.",Empleo de Asesor comercial externo de libranza ,Importante empresa del sector financiero requiere para su equipo de trabajo Asesor comercial externo - financiero..., Adecco Colombia S.A.
32,"Hoy, 10:08 a. m.",Empleo de jefe de producción - únicamente en empresas de lacteos formación obligatorio profesional,Reconocida empresa de lácteos requiere para su equipo de trabajo supervisor de producción con minimo 3 años de.., ACTIVOS S A S
33,"Hoy, 10:08 a. m.",Empleo de Auxiliar electronico con moto y curso de alturas,"Importante empresa, requiere auxiliar electrónico, quien se encargara de realizar cableado estructurado, procesos..", Mision Empresarial S.A
34,"Hoy, 10:08 a. m.",Empleo de Operario metalmecánico ,Se requiere operario metalmecánico con experiencia de mínimo 1 año en diferentes procesos puesto que desempeñará como.., Contrate SA
35,"Hoy, 10:08 a. m.",Empleo de Gran convocatoria abierta presentare el día 21 de enero del 2019 - Se requiere personal  cual debe de tener experiencia en telas o decoración de hogar  ,Si cumples con el perfil preséntate el día 21 de enero del 2019 de 08:00 am a 04:00 pm en laCarrera 46 # 10 SUR-20.., nexarte servicios temporales s.a
36,"Hoy, 10:08 a. m.","Empleo de Gran convocatoria abierta preséntate el día 21 de enero del 2019  - Mínimo 6 meses de experiencia como conductor tat , auxiliar de ruta y vendedor autoventa",Si cumples con el perfil preséntate el día 21 de enero del 2019 de 08:00 AM a 04:00 PM en laCarrera 46 # 10 SUR-20.., nexarte servicios temporales s.a
37,"Hoy, 10:02 a. m.",Empleo de Asesor call center ventas - Seguros o productos intangibles,"Estamos en busca de asesores servicio al cliente en el área de ventas , donde te ofrecemos - capacitación remunerada ..", KONECTA
38,"Hoy, 09:51 a. m.",Empleo de Técnico Electrónico Medellín  - con experiencia,Reconocida empresa del sector seguridad requiere Técnico experto en Seguridad Electrónica con experiencia mínima de.., Smart Security Ltda
39,"Hoy, 09:38 a. m.",Empleo de Profesional en Seguridad y Salud en el Trabajo,Se requiere profesional en seguridad y salud en el trabajo o especialista en seguridad y salud en el trabajo con curso..,
40,"Hoy, 09:38 a. m.",Empleo de Vendedores comisionista - Lunes a Viernes...,"Empresa líder del sector de servicios ,esta enbúsqueda personas mayores de edad, para el cargo de EJECUTIVO COMERCIAL,..",
41,"Hoy, 09:38 a. m.",Empleo de Conductor/vendedor - Urgente,"Ejecutar el traslado terrestre puntual, seguro y eficiente de las materias primas, suministros, implemento o productos..", PROCESOS TERCERIZADOS S.A.S
42,"Hoy, 09:38 a. m.",Empleo de Asesor de Libranza externo  - con experiencia excelentes comisiones ,Prestigiosa entidad bancaria requiere Ejecutivo Comercial Externo para trabajar en Libranza (sector público).  .., Productividad Empresarial SAS
43,"Hoy, 09:38 a. m.",Empleo de Asesor externo de tropas telecomunicaciones ,Importante empresa del sector de telecomunicaciones se encuentra en búsqueda de asesores comerciales para trabajar de.., Adecco Colombia S.A.
44,"Hoy, 09:38 a. m.",Empleo de Digitador - Excel Avanzado,Reconocida compañía del sector logístico transporte requiere para su equipo de trabajo: DIGITADOR Requisitos:.., Dar Ayuda Temporal
45,"Hoy, 09:38 a. m.",Empleo de Asesor de Cobranza - Medellin ,Prestigiosa compañía del área Financiera solicita de manera inmediata ASESORES DE CARTERA con experiencia mínima de 6..,
46,"Hoy, 09:37 a. m.",Empleo de Auxiliar operativo  - Pase de MOTO,"Reconocida empresa, requiere para su equipo de trabajo un auxiliar operativo que apoye las areas de mantenimiento..", Mision Empresarial S.A
47,"Hoy, 09:37 a. m.",Empleo de Auxiliares de Bodega - Con Moto,"Se requiere personal bachiller con Experiencia RECIENTE en Areas operativas (mensajero, guarda, bodega, operario,..", HQ5 S.A.S
48,"Hoy, 09:37 a. m.",Empleo de Asesor punto de venta medio tiempo,"Importante franquicia de la ciudad de Medellín requiere asesores punto de venta, esta persona estará a cargo de la..", Contrate SA
49,"Hoy, 09:37 a. m.",Empleo de mercaderista con moto rionegro,"Empresa de trade marketing, requiere mujer que sea bachiller, con experiencia en el cargo de mercaderista,..", PUNTOMERCA MERCHANDISING S.A.
50,"Hoy, 09:28 a. m.",Empleo de Back Office Contact Center,"Requerimos Back Office para un Contact Center, con experiencia mínima comprobable de 3 años en el área, disponibilidad..",
51,"Hoy, 09:26 a. m.",Empleo de Auxiliar de bodega / área de producción - Medellin,"Empresa ubicada en la ciudad de Medellin, requiere para su equipo de trabajo, personal con experiencia en el área de..", PUNTO EMPLEO S.A.
52,"Hoy, 09:25 a. m.",Empleo de Aprendiz de Costos y presupuestos  - Técnica o tecnología,Pastelería Santa Elena S.A. requiere para su equipo de trabajo un aprendiz técnico o tecnólogo en Costos y.., DISTRIBUIDORA DOÑA ELENA S . A .
53,"Hoy, 09:23 a. m.",Empleo de mercaimpulsadora - Con moto,Se requiere Mercaimpulsador(a)/promotor(a) para realizar las labores comerciales de la compañía en clientes como..,
54,"Hoy, 09:21 a. m.",Empleo de Administrador tiendas NIKE - Medellín,"Buscamos al MEJOR ADMINISTRADOR!! Si tienes experiencia de mínimo 2 años liderando equipos comerciales en tiendas,..", Sportline America + NIKE
55,"Hoy, 09:07 a. m.",Empleo de Sanidad y calidad - Tecnólogo en manipulación de alimentos o afines con 1 año de experiencia en el cargo,Se requiere Tecnólogo en manipulación de alimentos o afines con experiencia mínima de 12 meses . Objetivo: realizar..,
56,"Hoy, 09:07 a. m.",Empleo de conductor/vendedor con licencia c2 o c3  - urgente medellin ,"importante empresa de consumo masivo requiere conductor/ vendedor para ejecutar el traslado terrestre puntual, seguro..", PROCESOS TERCERIZADOS S.A.S
57,"Hoy, 09:07 a. m.",Empleo de Cajeros Operativos - Medellín,"Se requierehombres y mujeres bachillerescon experiencia de 1 año en cargo operativos (bodega, logistica, operarios)..",
58,"Hoy, 09:07 a. m.",Empleo de Coordinador de Fruver - Medellin,"Importante empresa del sector Retail requiere de manera urgente Coordinador Fruver encargado de Planear, organizar,..",
59,"Hoy, 09:07 a. m.",Empleo de Operario ,"Reconocida empresa busca para su compañia operario con experiencia en carpienteria.  Perfil: Bachiller, preferible con..", Redes Humanas
60,"Hoy, 09:07 a. m.",Empleo de Operario ,"Reconocida empresa busca para su compañia operario con experiencia en carpienteria.  Perfil: Bachiller, preferible con..", Redes Humanas
61,"Hoy, 09:07 a. m.",Empleo de Representante TAT con licencia de vehículo ,"Se requiere técnico o tecnólogo con experiencia mínima de 2 años en el canal TAT, consumo masivo, surtido del producto..", MANPOWER PROFESSIONAL LTDA
62,"Hoy, 09:07 a. m.",Empleo de Apartado Asersor comercial Autoservicios o supermercados  ,"Seguimos creciendo y queremos que hagas parte de nuestro equipo. Buscamos ASESOR COMERCIAL AUTOSERVICIOS, con..", Altipal S.A.
63,"Hoy, 09:07 a. m.",Empleo de Auxiliar de bodega - moto,¡Esta es la oferta laboral que tanto esperabas! Si tienes entre 19 y 35 años de edad y quieres laborar en una empresa.., Coordinadora Mercantil S.A.
64,"Hoy, 09:07 a. m.",Empleo de Profesional Mercadeo - Con experiencia en estudios de mercados,"Se requiere profesional de mercadeo con experiencia en estudios de mercados. Dominio de herramientas de procesamiento,..", Consenso  S.A.S
65,"Hoy, 09:07 a. m.",Empleo de Auxiliar Logistico - Motorizado,"Empresa de transporte de carga terrestre busca Auxiliar Operativo motorizado, indispensable tener moto con documentos..",
66,"Hoy, 09:07 a. m.",Empleo de Analista de contratación y servicio al cliente - Empresa de servicios temporales en la Estrella,"Importante empresa de servicios temporales, requiere auxiliar de operaciones , quien sera encargado, de atender..", Mision Empresarial S.A
67,"Hoy, 09:07 a. m.",Empleo de Asesor Comercial,Empresa líder en el mercado requiere asesora comercial para punto de venta para tienda de productos y servicios y..,
68,"Hoy, 09:07 a. m.",Empleo de Operario de montacargas Guarne - Personal con experiencia de 1 año,"PERFIL: Se solicita personal con 1 año de experiencia en manejo de montacargas de combustión, CON LICENCIA DE..", Empacor
69,"Hoy, 09:07 a. m.",Empleo de Auxiliar de farmacia - Medellín,Se requiere un tecnólogo en regencia de farmacia con un buen manejo en excel y capacidad de análisis. Debe desempeñar.., SERVIMOS LTDA
70,"Hoy, 09:07 a. m.","Empleo de Se requiere vendedor autoventa  - Mínimo 6 meses de experiencia como conductor tat , auxiliar de ruta y vendedor autoventa ",Importante compañía de consumo masivo requiere para su equipo de trabajo vendedores autoventa el cual debe de contar.., nexarte servicios temporales s.a
71,"Hoy, 09:07 a. m.","Empleo de Gran convocatorio abierta preséntate el día 21 de enero del 2019   - Mínimo 6 meses de experiencia como conductor tat , auxiliar de ruta y vendedor autoventa",Si cumples con el perfil preséntate el día 21 de enero del 2019 de 08:00 AM a 04:00 PM en laCarrera 46 # 10 SUR-20.., nexarte servicios temporales s.a
72,"Hoy, 09:07 a. m.",Empleo de Operario de inyección,"Se requiere operario de producción con experiencia de mínimo 1 año en manejo de máquina inyectora o sopladora, debe..", Contrate SA
