,NOM_GEO,AMBITO,GRID_NUMBER,Lat,long,X_GSR80,Y_GSR80,SQUARE_POLYGON,geometry,CENTROID,GRID_VAL
0,Parres (El Guarda),Urbana,GRID_0,19.126569612224703,-99.17723797104564,795188.8584998957,2796217.890100001,"POLYGON ((794788.8584998957 2795817.890100001, 795588.8584998957 2795817.890100001, 795588.8584998957 2796617.890100001, 794788.8584998957 2796617.890100001, 794788.8584998957 2795817.890100001))","POLYGON ((-99.18112363529141 19.12301881950662, -99.18097381300132 19.1266408698477, -99.17723786983061 19.12656956982312, -99.17731298340568 19.1228762282857, -99.18112363529141 19.12301881950662))",POINT (-99.1791563247390400 19.1247699968094835),SI
1,Parres (El Guarda),Urbana,GRID_1,19.130191668282755,-99.17716295669226,795588.8584998957,2796217.890100001,"POLYGON ((795188.8584998957 2795817.890100001, 795988.8584998957 2795817.890100001, 795988.8584998957 2796617.890100001, 795188.8584998957 2796617.890100001, 795188.8584998957 2795817.890100001))","POLYGON ((-99.18104872613681 19.12664086192527, -99.18089889588464 19.13026292810416, -99.17716285547186 19.13019162587275, -99.17723797303876 19.12649826629006, -99.18104872613681 19.12664086192527))",POINT (-99.1790813616976692 19.1283920452825136),SI
2,Parres (El Guarda),Urbana,GRID_2,19.130120320139618,-99.17335210436978,795588.8584998957,2796617.890100001,"POLYGON ((795188.8584998957 2796217.890100001, 795988.8584998957 2796217.890100001, 795988.8584998957 2797017.890100001, 795188.8584998957 2797017.890100001, 795188.8584998957 2796217.890100001))","POLYGON ((-99.17723797104563 19.12656961222471, -99.17708793835234 19.13019167619819, -99.1733520031497 19.13012027772682, -99.17342722193651 19.12642682412151, -99.17723797104563 19.12656961222471))",POINT (-99.1752705256160993 19.1283207130584749),SI
3,Parres (El Guarda),Urbana,GRID_3,19.133813740171668,-99.17708793835234,795988.8584998957,2796217.890100001,"POLYGON ((795588.8584998957 2795817.890100001, 796388.8584998957 2795817.890100001, 796388.8584998957 2796617.890100001, 795588.8584998957 2796617.890100001, 795588.8584998957 2795817.890100001))","POLYGON ((-99.18097381300132 19.13026292018878, -99.18082397478643 19.13388500219137, -99.17708783712655 19.13381369775329, -99.17716295868556 19.13012032013962, -99.18097381300132 19.13026292018878))",POINT (-99.1790063946724558 19.1320141095934879),SI
4,Parres (El Guarda),Urbana,GRID_4,19.13374238982024,-99.17327698480692,795988.8584998957,2796617.890100001,"POLYGON ((795588.8584998957 2796217.890100001, 796388.8584998957 2796217.890100001, 796388.8584998957 2797017.890100001, 795588.8584998957 2797017.890100001, 795588.8584998957 2796217.890100001))","POLYGON ((-99.17716295669226 19.13019166828276, -99.17701291602552 19.13381374808008, -99.17327688358147 19.13374234739907, -99.17335210636574 19.13004887575962, -99.17716295669226 19.13019166828276))",POINT (-99.1751954573687726 19.1319427751615017),SI
5,Parres (El Guarda),Urbana,GRID_5,19.133670943228925,-99.16946603525378,795988.8584998957,2797017.890100001,"POLYGON ((795588.8584998957 2796617.890100001, 796388.8584998957 2796617.890100001, 796388.8584998957 2797417.890100001, 795588.8584998957 2797417.890100001, 795588.8584998957 2796617.890100001))","POLYGON ((-99.17335210436978 19.13012032013962, -99.1732018612518 19.13374239772871, -99.16946593402864 19.13367090080494, -99.16954125803791 19.12997733514289, -99.17335210436978 19.13012032013962))",POINT (-99.1713845240565348 19.1318713444894861),SI
6,Parres (El Guarda),Urbana,GRID_6,19.137435827877407,-99.17701291602552,796388.8584998957,2796217.890100001,"POLYGON ((795988.8584998957 2795817.890100001, 796788.8584998957 2795817.890100001, 796788.8584998957 2796617.890100001, 795988.8584998957 2796617.890100001, 795988.8584998957 2795817.890100001))","POLYGON ((-99.18089889588464 19.13388499428305, -99.18074904970639 19.13750709209524, -99.17701281479437 19.13743578545067, -99.17708794034579 19.13374238982024, -99.18089889588464 19.13388499428305))",POINT (-99.1789314236630872 19.1356361897283023),SI
7,Parres (El Guarda),Urbana,GRID_7,19.137364475317806,-99.1732018612518,796388.8584998957,2796617.890100001,"POLYGON ((795988.8584998957 2796217.890100001, 796788.8584998957 2796217.890100001, 796788.8584998957 2797017.890100001, 795988.8584998957 2797017.890100001, 795988.8584998957 2796217.890100001))","POLYGON ((-99.17708793835234 19.13381374017167, -99.17693788971147 19.13743583577876, -99.17320176002097 19.13736443288826, -99.17327698680306 19.13367094322892, -99.17708793835234 19.13381374017167))",POINT (-99.1751203851319474 19.1355648530884856),SI
8,Parres (El Guarda),Urbana,GRID_8,19.137293026515383,-99.16939081047067,796388.8584998957,2797017.890100001,"POLYGON ((795988.8584998957 2796617.890100001, 796788.8584998957 2796617.890100001, 796788.8584998957 2797417.890100001, 795988.8584998957 2797417.890100001, 795988.8584998957 2796617.890100001))","POLYGON ((-99.17327698480692 19.13374238982024, -99.17312673370409 19.13736448321926, -99.16939070924016 19.137292984083, -99.16946603725259 19.13359940039791, -99.17327698480692 19.13374238982024))",POINT (-99.1713093505925798 19.1354934202056945),SI
9,Parres (El Guarda),Urbana,GRID_9,19.14098657661828,-99.1731267337041,796788.8584998957,2796617.890100001,"POLYGON ((796388.8584998957 2796217.890100001, 797188.8584998957 2796217.890100001, 797188.8584998957 2797017.890100001, 796388.8584998957 2797017.890100001, 796388.8584998957 2796217.890100001))","POLYGON ((-99.17701291602552 19.13743582787741, -99.17686285940992 19.14105793928015, -99.17312663246788 19.14098653418033, -99.1732018632481 19.13729302651538, -99.17701291602552 19.13743582787741))",POINT (-99.1750453089053252 19.1391869468253830),SI
